name,abbrv,formula,state,ref1,ref2,date,E_units,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T,azero,neutral_ion_type,dissrxn,tag,formula_ox,category_1,category_2
fumaric-acid,NA,C4H4O4,aq,CS16,NA,12/21/2016,cal,-154820,-186260,60.62,47,77.9,12.3542,21.2748,-0.2318,-3.6585,45.951,-0.3174,-0.186,0,4,0,-1.0000 fumaric-acid -2.0000 H2O 1.0000 O2(g) 2.0000 acetic-acid,aux,2C+3 2C- 4H+ 4O-2,organic_aq,
H-fumarate,NA,C4H3O4-,aq,CS16,NA,12/21/2016,cal,-150600,-186150,46.83,10,65.4,11.0637,18.3498,0.4327,-3.5376,26.4785,-3.9848,0.9199,-1,4,0,-1.0000 H-fumarate 1.0000 fumaric-acid -1.0000 H+,,,organic_aq,
fumarate-2,NA,C4H2O4-2,aq,CS16,NA,12/21/2016,cal,-144320,-186830,23.48,-42.8,51.7,9.9248,15.7683,1.0191,-3.4309,-7.3722,-4.6247,2.8572,-2,4,0,-1.0000 fumarate-2 -2.0000 H+ 1.0000 fumaric-acid,,,organic_aq,
malic-acid,NA,C4H6O5,aq,CS16,NA,12/21/2016,cal,-213530,-259310,68.21,56.43,82.22,12.9644,22.6577,-0.5461,-3.7157,53.9427,0.6143,-0.136,0,4,0,-1.0000 malic-acid -1.0000 H2O 2.0000 acetic-acid 1.0000 O2(g),aux,2C+3 C-2 C 6H+ 5O-2,organic_aq,
H-malate,NA,C4H5O5-,aq,CS16,NA,12/21/2016,cal,-208810,-258610,54.75,19.4,75.4,12.3867,21.3482,-0.249,-3.6615,34.5541,-3.8709,0.8,-1,4,0,-1.0000 H-malate -1.0000 H+ 1.0000 malic-acid,,,organic_aq,
malate-2,NA,C4H4O5-2,aq,CS16,NA,12/21/2016,cal,-201860,-258890,30.48,-33.4,69.19,12.2779,21.1017,-0.1928,-3.6513,0.8264,-4.5108,2.7512,-2,4,0,-1.0000 malate-2 -2.0000 H+ 1.0000 malic-acid,,,organic_aq,
pyruvic-acid,NA,CH3COCOOH,aq,CS16,NA,12/21/2016,cal,-117000,-140300,62.1,36.3,64.6,10.5381,17.1584,0.7032,-3.4883,37.4903,-1.3746,-0.176,0,4,0,-1.0000 pyruvic-acid -1.0000 H2O 0.5000 O2(g) 1.5000 acetic-acid,aux,C+3 C-3 C+2 4H+ 3O-2,organic_aq,
pyruvate,NA,CH3COCOO-,aq,CS16,NA,12/21/2016,cal,-113600,-137400,60.4,-3.7,51.5,9.0836,13.862,1.4526,-3.3521,11.2428,-4.1508,0.7144,-1,4,0,-1.0000 pyruvate -1.0000 H+ 1.0000 pyruvic-acid,,,organic_aq,
citric-acid,NA,C6H8O7,aq,LH06a.1,CS16.1,12/21/2016,cal,-297180,-364527,78.89,73.47,112.98,17.2019,32.2622,-2.7285,-4.1127,96.43,-11.57,-0.06,0,4,0,-1.0000 citric-acid -2.0000 H2O 1.5000 O2(g) 3.0000 acetic-acid,aux,3C+3 2C-2 C+1 8H+ 7O-2,organic_aq,
H2-citrate,NA,C6H7O7-,aq,LH06a.1,CS16.1,12/21/2016,cal,-292912,-363530,67.92,47.04,102.48,16.3576,30.3484,-2.2931,-4.0336,89.4,-14.12,1.5,-1,4,0,-1.0000 H2-citrate -1.0000 H+ 1.0000 citric-acid,,,organic_aq,
